@relation HW8_ecoli

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute CLASS {1,3,5,7,8}

@data
-0.021627,-1.400203,-0.096078,0,0.491620,-1.184641,-0.739896,1
-2.189721,-0.666550,-0.096078,0,0.329237,-0.678505,-0.305002,1
0.339722,-0.666550,-0.096078,0,-0.076723,-0.586481,-0.208359,1
0.494586,-0.066288,-0.096078,0,0.166853,-0.218383,-0.691575,1
-1.363781,-1.200116,-0.096078,0,0.410429,-1.138628,-0.739896,1
0.907556,-0.733246,-0.096078,0,-1.132217,-0.540469,-0.208359,1
-1.054053,-1.466899,-0.096078,0,-0.482682,-1.230653,-0.788218,1
-1.467023,-1.066724,-0.096078,0,0.085661,-1.000592,-0.546610,1
-1.518645,-0.399767,-0.096078,0,-0.320298,0.057691,0.323178,1
-0.382976,-0.666550,-0.096078,0,0.491620,-1.460715,-0.981504,1
-0.382976,-1.733682,-0.096078,0,0.572812,-1.046604,-0.643253,1
-1.260538,-0.132984,-0.096078,0,-0.482682,-1.506727,-1.029825,1
-0.537840,-1.200116,-0.096078,0,-0.320298,-1.184641,-0.739896,1
0.081615,0.000408,-0.096078,0,-0.320298,-0.816542,-0.739896,1
-1.415402,-0.466463,-0.096078,0,-0.157914,-1.552739,-1.078147,1
-1.260538,-0.666550,-0.096078,0,-0.320298,-0.264395,0.081570,1
-0.795947,-0.333071,-0.096078,0,-0.969833,-1.184641,-0.739896,1
-0.279734,-1.533595,-0.096078,0,0.410429,0.103704,0.371500,1
-1.363781,-0.666550,-0.096078,0,-0.888641,-1.000592,-0.594931,1
-0.434598,0.467278,-0.096078,0,-0.888641,-1.322678,-0.884861,1
-0.486219,-0.333071,-0.096078,0,-0.969833,-1.276665,-2.431151,1
-0.950810,-1.800378,-0.096078,0,1.871882,-2.058874,-1.754649,1
0.081615,0.267191,-0.096078,0,-0.726257,-0.724518,-0.353324,1
-1.002432,-2.267248,-0.096078,0,0.491620,-1.782801,-1.319755,1
-0.692704,-0.733246,-0.096078,0,-0.157914,-1.276665,-1.319755,1
-1.054053,-0.866637,-0.096078,0,-0.157914,-0.264395,0.081570,1
-1.260538,-0.666550,-0.096078,0,-0.239106,-0.770530,-0.401645,1
-1.467023,0.067104,-0.096078,0,0.004469,-0.816542,-0.449967,1
-0.331355,-0.866637,-0.096078,0,0.248045,-0.678505,-0.305002,1
-0.331355,-0.733246,-0.096078,0,-0.239106,-0.862555,-0.449967,1
0.184858,-0.799941,-0.096078,0,-0.482682,-1.092616,-0.691575,1
-0.795947,-1.133420,-0.096078,0,-0.969833,-0.678505,-0.305002,1
0.339722,0.067104,-0.096078,0,-1.294600,-0.586481,-0.208359,1
-0.486219,-1.400203,-0.096078,0,-0.645066,-0.678505,-0.305002,1
-1.312159,-1.000029,-0.096078,0,-1.538176,-1.414702,-0.933182,1
-0.692704,0.267191,-0.096078,0,-0.726257,-0.540469,-0.208359,1
-1.054053,0.133799,-0.096078,0,-0.645066,-0.954579,-0.546610,1
0.804313,-0.199679,-0.096078,0,0.735196,-0.908567,-0.498288,1
-0.899189,-0.533158,-0.096078,0,-1.213408,-1.000592,-0.594931,1
-0.589461,-0.266375,-0.096078,0,-0.157914,-1.276665,-1.029825,1
-0.847568,-0.333071,-0.096078,0,0.166853,-0.816542,-0.449967,1
-1.002432,-0.866637,-0.096078,0,0.735196,-0.402432,-0.063394,1
-0.486219,0.000408,-0.096078,0,-0.401490,-0.494456,-0.160037,1
-1.105674,-0.799941,-0.096078,0,0.004469,-0.770530,-0.401645,1
0.597828,-0.333071,-0.096078,0,-0.157914,-0.678505,-0.449967,1
-1.673508,-0.799941,-0.096078,0,-0.401490,-0.356419,-0.015073,1
-0.279734,-1.000029,-0.096078,0,0.410429,0.241740,0.516464,1
-0.331355,-0.666550,-0.096078,0,-0.888641,-1.000592,-0.546610,1
-0.382976,-1.000029,-0.096078,0,0.654004,-1.598751,-1.126469,1
-1.363781,-1.133420,-0.096078,0,-0.563874,-0.770530,-0.353324,1
-0.641083,0.133799,-0.096078,0,-0.645066,-0.356419,-0.691575,1
-1.054053,-1.333508,-0.096078,0,-0.401490,-2.150899,-1.609684,1
-1.415402,-0.933333,-0.096078,0,-1.213408,-0.494456,-0.160037,1
-1.363781,0.533974,-0.096078,0,-1.051025,0.149716,0.419821,1
-0.124870,-0.199679,-0.096078,0,-2.268903,-1.552739,-1.174790,1
0.236479,-0.199679,-0.096078,0,-1.781751,-0.770530,-0.401645,1
0.081615,-0.866637,-0.096078,0,-1.213408,-0.632493,-0.256681,1
-0.486219,-1.000029,-0.096078,0,-0.401490,-0.770530,-0.401645,1
-0.279734,-1.066724,-0.096078,0,-1.619368,-0.770530,-0.353324,1
-0.382976,-0.799941,-0.096078,0,0.329237,-0.724518,-0.353324,1
-0.279734,0.400583,-0.096078,0,0.004469,-0.172370,0.178213,1
0.133237,-0.933333,-0.096078,0,-0.726257,-1.000592,-0.594931,1
-0.692704,-0.599854,-0.096078,0,-0.157914,-0.126358,0.178213,1
-1.621887,-1.333508,-0.096078,0,-0.320298,-1.184641,-0.739896,1
-0.124870,-1.400203,-0.096078,0,0.085661,-0.770530,-0.353324,1
-1.312159,-0.466463,-0.096078,0,0.329237,0.103704,0.419821,1
-1.260538,-0.866637,-0.096078,0,-0.726257,-0.770530,-0.401645,1
0.133237,0.467278,-0.096078,0,-0.645066,-0.126358,0.178213,1
-1.260538,-0.866637,-0.096078,0,-0.563874,-1.092616,-0.691575,1
-0.744325,-0.132984,-0.096078,0,0.491620,-0.448444,-0.111716,1
-1.208917,-1.600291,-0.096078,0,-1.294600,-1.138628,-0.739896,1
