@relation dataset2
@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute EX string
@data
29.0,111.0,9,0.0,0.0,0.38888884,0.24074061,0.6111111,0.15185188,5.4074073,6.888889,6.3333335,3.0,4.4444447,2.7777777,-7.2222223,6.888889,0.56415343,-0.89785874,ex0
42.0,59.0,9,0.0,0.0,1.833333,3.5000002,2.0555553,0.86296284,21.814816,20.777779,28.777779,15.888889,-3.1111112,20.88889,-17.777779,28.777779,0.44514215,-1.680812,ex1
18.0,138.0,9,0.0,0.0,0.88888884,0.5629629,0.83333325,0.29999986,5.740741,7.3333335,6.5555553,3.3333333,4.7777777,2.4444444,-7.2222223,7.3333335,0.5438712,-0.8621077,ex2
150.0,113.0,9,0.0,0.0,0.5,0.25555554,0.77777773,0.20740744,5.5925927,7.111111,6.6666665,3.0,4.5555553,3.2222223,-7.7777777,7.111111,0.5793651,-0.942558,ex3
134.0,104.0,9,0.0,0.0,2.388889,1.8407409,2.6666663,3.5555563,21.777779,20.88889,28.333334,16.11111,-2.6666667,19.666666,-17.0,28.333334,0.43039906,-1.6697525,ex4
98.0,104.0,9,0.0,0.0,2.2222223,3.6296306,1.4999999,1.3222224,18.703703,19.222221,23.222221,13.666667,1.5555556,13.555555,-15.111111,23.222221,0.4100093,-1.4466414,ex5
27.0,50.0,9,0.0,0.0,1.0555557,0.46296322,1.0000004,0.48888907,23.037037,21.666666,30.0,17.444445,-4.111111,20.88889,-16.777779,30.0,0.41874644,-1.7412539,ex6
86.0,88.0,9,0.11111111,0.0,2.055556,1.8851848,1.722222,3.3962944,21.148148,21.444445,26.333334,15.666667,0.8888889,15.555555,-16.444445,26.333334,0.40511805,-1.5125551,ex7
80.0,116.0,9,0.0,0.0,1.5,1.6333328,1.5555557,0.87407404,21.703703,21.222221,27.555555,16.333334,-1.4444444,17.555555,-16.11111,27.555555,0.40736422,-1.6322426,ex8
226.0,84.0,9,0.0,0.0,3.055556,3.9740732,1.7777778,2.6962967,4.5555553,1.5555556,9.0,3.1111112,-9.0,13.333333,-4.3333335,9.0,0.84772927,-2.3057292,ex9
13.0,103.0,9,0.0,0.0,1.3888888,0.5962964,2.277778,2.1518524,16.148148,17.666668,19.11111,11.666667,4.5555553,8.888889,-13.444445,19.444445,0.39890292,-1.2192107,ex10
6.0,90.0,9,0.0,0.0,1.9444447,0.5962962,1.3333336,1.8222237,18.11111,18.777779,22.11111,13.444445,2.0,12.0,-14.0,22.11111,0.38846022,-1.4258847,ex11
85.0,101.0,9,0.0,0.0,1.3333334,1.2888881,1.2777777,1.2185181,21.296297,21.222221,26.777779,15.888889,-0.22222222,16.444445,-16.222221,26.777779,0.4047922,-1.5585992,ex12
76.0,81.0,9,0.11111111,0.0,1.888889,1.6740727,1.3333334,2.3999984,22.703703,22.333334,28.777779,17.0,-1.1111112,18.222221,-17.11111,28.777779,0.40920117,-1.6067939,ex13
147.0,92.0,9,0.0,0.0,1.111111,0.42963067,1.388889,2.240742,23.444445,22.777779,30.0,17.555555,-2.0,19.666666,-17.666666,30.0,0.4143562,-1.6539259,ex14
89.0,89.0,9,0.0,0.0,1.722222,2.9074073,2.9444447,4.862958,21.88889,21.333334,27.777779,16.555555,-1.6666666,17.666666,-16.0,27.777779,0.4004446,-1.6113652,ex15
96.0,115.0,9,0.0,0.0,0.38888893,0.15185183,0.33333334,0.17777777,6.7777777,7.7777777,8.555555,4.0,3.0,5.3333335,-8.333333,8.666667,0.53858024,-1.2103575,ex16
239.0,122.0,9,0.0,0.0,0.27777776,0.06296293,0.33333334,0.17777774,5.5555553,7.0,6.6666665,3.0,4.3333335,3.3333333,-7.6666665,7.2222223,0.5813492,-0.95343477,ex17
77.0,78.0,9,0.0,0.0,2.222223,2.3407404,2.0,5.8666697,24.592592,24.0,31.222221,18.555555,-1.7777778,19.88889,-18.11111,31.222221,0.40196496,-1.610448,ex18
37.0,126.0,9,0.0,0.0,0.38888898,0.06296298,0.4444445,0.25185186,5.7777777,7.4444447,6.7777777,3.1111112,5.0,3.0,-8.0,7.4444447,0.5813492,-0.89580745,ex19
192.0,142.0,9,0.11111111,0.0,0.50000006,0.12222217,1.5000001,0.52222186,4.6666665,6.7777777,4.888889,2.3333335,6.3333335,0.6666667,-7.0,6.7777777,0.662037,-0.60486406,ex20
22.0,60.0,9,0.0,0.0,0.5,0.30000025,1.2777777,0.7296294,19.925926,19.333334,25.777779,14.666667,-1.7777778,17.555555,-15.777778,25.777779,0.43048432,-1.650048,ex21
145.0,90.0,9,0.0,0.0,1.0,0.5777784,2.0,0.399999,24.851852,23.666666,32.22222,18.666668,-3.5555556,22.11111,-18.555555,32.22222,0.4205985,-1.7059416,ex22
159.0,111.0,9,0.0,0.0,0.4444445,0.074074045,0.61111116,0.1518519,5.9259257,7.6666665,6.888889,3.2222223,5.2222223,2.8888888,-8.111111,7.6666665,0.5813492,-0.87266606,ex23
88.0,88.0,9,0.0,0.0,0.833333,0.4777776,2.888889,2.3851826,22.148148,21.333334,28.444445,16.666668,-2.4444444,18.88889,-16.444445,28.444445,0.41330814,-1.6537874,ex24
5.0,92.0,9,0.0,0.0,1.3333335,0.48888856,2.1666667,1.2777781,18.703703,18.777779,23.777779,13.555555,0.22222222,15.222222,-15.444445,23.777779,0.4288601,-1.5482956,ex25
97.0,75.0,9,0.0,0.11111111,2.0000002,1.9111089,3.7777777,8.296293,24.851852,24.0,31.666666,18.88889,-2.5555556,20.444445,-17.88889,31.666666,0.40211964,-1.6527679,ex26
84.0,51.0,9,0.0,0.0,1.7777777,1.6296308,2.6666672,0.88888854,25.74074,22.666666,35.11111,19.444445,-9.222222,28.11111,-18.88889,35.11111,0.44611752,-1.8730317,ex27
89.0,68.0,9,0.0,0.0,4.055556,3.0407388,2.3888886,1.2185171,17.703703,17.666668,23.0,12.444445,-0.11111111,15.888889,-15.777778,23.0,0.46200204,-1.5639724,ex28
85.0,56.0,9,0.0,0.0,1.3333334,0.40000024,1.2777773,1.8407404,26.444445,23.333334,36.0,20.0,-9.333333,28.666666,-19.333334,36.0,0.4427882,-1.8631825,ex29
75.0,149.0,9,0.0,0.0,0.5,0.12222223,1.0555557,0.50740725,7.5185184,5.5555553,11.888889,5.111111,-5.888889,13.111111,-7.2222223,11.888889,0.57870835,-2.0186307,ex30
94.0,67.0,9,0.0,0.0,2.5555556,3.3629644,1.5555557,1.1851852,23.74074,22.88889,30.777779,17.555555,-2.5555556,21.11111,-18.555555,30.777779,0.42989677,-1.6701708,ex31
